smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type,admet_solubility,admet_solubility_source,admet_lipophilicity,admet_lipophilicity_source,admet_clearance_hepatocyte,admet_clearance_hepatocyte_source,admet_clearance_microsome,admet_clearance_microsome_source,admet_herg,admet_herg_source,admet_ames,admet_ames_source,admet_bbb,admet_bbb_source,admet_caco2,admet_caco2_source,admet_ppbr,admet_ppbr_source
O=S(=O)(c1cccc(CCCCOCCCCCCNC[C@H](O)c2ccc(O)c(CO)c2)c1)C1CCCC1,CHEMBL3131892,IC50,5.8,CHEMBL3126382,2014,CHEMBL3124822,J Med Chem,Scientific Literature,Inhibition of human CYP3A4 expressed in Escherichia coli using diethoxyfluorescein as substrate,75,1370,O=S(=O)(c1cccc(CCCCOCCCCCCNCCc2ccccc2)c1)C1CCCC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1cccc(Cl)c1)n1cc(Cl)c2cc3c(cc21)CCNCC3,CHEMBL991619,IC50,4.7,CHEMBL478870,2008,CHEMBL1144232,Bioorg Med Chem Lett,Scientific Literature,Inhibition of human CYP3A4 by microtiter plate assays using PPR substrate,23,655,O=S(=O)(c1ccccc1)n1ccc2cc3c(cc21)CCNCC3,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1cccc(Cl)c1)n1cc(Cl)c2cc3c(cc21)CCNCC3,CHEMBL995002,IC50,4.92,CHEMBL478870,2008,CHEMBL1144232,Bioorg Med Chem Lett,Scientific Literature,"Inhibition of human CYP3A4 by microtiter plate assays using N-N,diethyl-formamide as substrate",23,656,O=S(=O)(c1ccccc1)n1ccc2cc3c(cc21)CCNCC3,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1cccc(Cl)c1)n1ccc2cc3c(cc21)CCNCC3,CHEMBL991619,IC50,5.16,CHEMBL446054,2008,CHEMBL1144232,Bioorg Med Chem Lett,Scientific Literature,Inhibition of human CYP3A4 by microtiter plate assays using PPR substrate,23,655,O=S(=O)(c1ccccc1)n1ccc2cc3c(cc21)CCNCC3,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1cccc(Cl)c1)n1ccc2cc3c(cc21)CCNCC3,CHEMBL995002,IC50,5.52,CHEMBL446054,2008,CHEMBL1144232,Bioorg Med Chem Lett,Scientific Literature,"Inhibition of human CYP3A4 by microtiter plate assays using N-N,diethyl-formamide as substrate",23,656,O=S(=O)(c1ccccc1)n1ccc2cc3c(cc21)CCNCC3,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1cccc(F)c1)n1ccc2c(N3CCNCC3)nc3ccccc3c21,CHEMBL4844568,IC50,4.24,CHEMBL4867565,2021,CHEMBL4842371,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin),122,1371,O=S(=O)(c1ccccc1)n1ccc2c(N3CCNCC3)nc3ccccc3c21,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1cccc(OC(F)(F)F)c1)N1CCN(c2ccc(/C=C/c3cc(Cl)cc(Cn4ccnc4)c3)cc2)CC1,CHEMBL4257180,IC50,6.06,CHEMBL4288256,2016,CHEMBL4257083,,SureChEMBL Patent Bioactivity Data,Inhibition of CYP3A4 (unknown origin),98,73,O=S(=O)(c1ccccc1)N1CCN(c2ccc(C=Cc3cccc(Cn4ccnc4)c3)cc2)CC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccccc1)n1cc(Cl)c2cc3c(cc21)CCNCC3,CHEMBL991619,IC50,4.72,CHEMBL515624,2008,CHEMBL1144232,Bioorg Med Chem Lett,Scientific Literature,Inhibition of human CYP3A4 by microtiter plate assays using PPR substrate,23,655,O=S(=O)(c1ccccc1)n1ccc2cc3c(cc21)CCNCC3,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccccc1)n1cc(Cl)c2cc3c(cc21)CCNCC3,CHEMBL995002,IC50,4.92,CHEMBL515624,2008,CHEMBL1144232,Bioorg Med Chem Lett,Scientific Literature,"Inhibition of human CYP3A4 by microtiter plate assays using N-N,diethyl-formamide as substrate",23,656,O=S(=O)(c1ccccc1)n1ccc2cc3c(cc21)CCNCC3,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
O=S(=O)(c1ccccc1)n1ccc2cc3c(cc21)CCNCC3,CHEMBL991619,IC50,4.7,CHEMBL517828,2008,CHEMBL1144232,Bioorg Med Chem Lett,Scientific Literature,Inhibition of human CYP3A4 by microtiter plate assays using PPR substrate,23,655,O=S(=O)(c1ccccc1)n1ccc2cc3c(cc21)CCNCC3,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
